codes
"B       MT0111500000000 Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area  0       T       2"
"B       MT0112220000000 Auburn-Opelika, AL Metropolitan Statistical Area        0       T       3"
"B       MT0113820000000 Birmingham-Hoover, AL Metropolitan Statistical Area     0       T       4"
"B       MT0119300000000 Daphne-Fairhope-Foley, AL Metropolitan Statistical Area 0       T       5"
"B       MT0119460000000 Decatur, AL Metropolitan Statistical Area       0       T       6"
"B       MT0120020000000 Dothan, AL Metropolitan Statistical Area        0       T       7"
"B       MT0122520000000 Florence-Muscle Shoals, AL Metropolitan Statistical Area        0       T       8"
"B       MT0123460000000 Gadsden, AL Metropolitan Statistical Area       0       T       9"
"B       MT0126620000000 Huntsville, AL Metropolitan Statistical Area    0       T       10"
"B       MT0133660000000 Mobile, AL Metropolitan Statistical Area        0       T       11"
"B       MT0133860000000 Montgomery, AL Metropolitan Statistical Area    0       T       12"
"B       MT0146220000000 Tuscaloosa, AL Metropolitan Statistical Area    0       T       13"
"B       MT0211260000000 Anchorage, AK Metropolitan Statistical Area     0       T       150"
"B       MT0221820000000 Fairbanks, AK Metropolitan Statistical Area     0       T       151"
"B       MT0422380000000 Flagstaff, AZ Metropolitan Statistical Area     0       T       194"
"B       MT0429420000000 Lake Havasu City-Kingman, AZ Metropolitan Statistical Area      0       T       195"
"B       MT0438060000000 Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area       0       T       196"
"B       MT0439140000000 Prescott, AZ Metropolitan Statistical Area      0       T       197"
"B       MT0443420000000 Sierra Vista-Douglas, AZ Metropolitan Statistical Area  0       T       198"
"B       MT0446060000000 Tucson, AZ Metropolitan Statistical Area        0       T       199"
"B       MT0449740000000 Yuma, AZ Metropolitan Statistical Area  0       T       200"
"B       MT0522220000000 Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area     0       T       258"
"B       MT0522900000000 Fort Smith, AR-OK Metropolitan Statistical Area 0       T       259"
"B       MT0526300000000 Hot Springs, AR Metropolitan Statistical Area   0       T       260"
"B       MT0527860000000 Jonesboro, AR Metropolitan Statistical Area     0       T       261"
"B       MT0530780000000 Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area  0       T       262"
"B       MT0538220000000 Pine Bluff, AR Metropolitan Statistical Area    0       T       263"
"B       MT0612540000000 Bakersfield, CA Metropolitan Statistical Area   0       T       384"
"B       MT0617020000000 Chico, CA Metropolitan Statistical Area 0       T       385"
"B       MT0620940000000 El Centro, CA Metropolitan Statistical Area     0       T       386"
"B       MT0623420000000 Fresno, CA Metropolitan Statistical Area        0       T       387"
"B       MT0625260000000 Hanford-Corcoran, CA Metropolitan Statistical Area      0       T       388"
"B       MT0631080000000 Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area        0       T       389"
"B       MT0631460000000 Madera, CA Metropolitan Statistical Area        0       T       390"
"B       MT0632900000000 Merced, CA Metropolitan Statistical Area        0       T       391"
"B       MT0633700000000 Modesto, CA Metropolitan Statistical Area       0       T       392"
"B       MT0634900000000 Napa, CA Metropolitan Statistical Area  0       T       393"
"B       MT0637100000000 Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area  0       T       394"
"B       MT0639820000000 Redding, CA Metropolitan Statistical Area       0       T       395"
"B       MT0640140000000 Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area      0       T       396"
"B       MT0640900000000 Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area   0       T       397"
"B       MT0641500000000 Salinas, CA Metropolitan Statistical Area       0       T       398"
"B       MT0641740000000 San Diego-Carlsbad, CA Metropolitan Statistical Area    0       T       399"
"B       MT0641860000000 San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area 0       T       400"
"B       MT0641940000000 San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area        0       T       401"
"B       MT0642020000000 San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area     0       T       402"
"B       MT0642100000000 Santa Cruz-Watsonville, CA Metropolitan Statistical Area        0       T       403"
"B       MT0642200000000 Santa Maria-Santa Barbara, CA Metropolitan Statistical Area     0       T       404"
"B       MT0642220000000 Santa Rosa, CA Metropolitan Statistical Area    0       T       405"
"B       MT0644700000000 Stockton-Lodi, CA Metropolitan Statistical Area 0       T       406"
"B       MT0646700000000 Vallejo-Fairfield, CA Metropolitan Statistical Area     0       T       407"
"B       MT0647300000000 Visalia-Porterville, CA Metropolitan Statistical Area   0       T       408"
"B       MT0649700000000 Yuba City, CA Metropolitan Statistical Area     0       T       409"
"B       MT0814500000000 Boulder, CO Metropolitan Statistical Area       0       T       771"
"B       MT0817820000000 Colorado Springs, CO Metropolitan Statistical Area      0       T       772"
"B       MT0819740000000 Denver-Aurora-Lakewood, CO Metropolitan Statistical Area        0       T       773"
"B       MT0822660000000 Fort Collins, CO Metropolitan Statistical Area  0       T       774"
