,PH_SEQ,In Labor Force?,Unempoyment Status,Received UIB,UIB Amount,Duration of unemployment,Moving Status,Race,Sex,Year,GTCBSA
1,1.0,4.0,2.0,1.0,3900.0,23.0,0.0,1.0,1.0,2021.0,0.0
108,74.0,4.0,2.0,2.0,0.0,35.0,0.0,1.0,1.0,2021.0,0.0
318,209.0,3.0,2.0,2.0,0.0,13.0,5.0,1.0,2.0,2021.0,0.0
323,210.0,3.0,2.0,1.0,800.0,22.0,0.0,1.0,2.0,2021.0,0.0
332,214.0,3.0,2.0,2.0,0.0,16.0,0.0,1.0,2.0,2021.0,0.0
378,236.0,3.0,2.0,1.0,5000.0,26.0,0.0,1.0,2.0,2021.0,0.0
460,295.0,4.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2021.0,0.0
555,347.0,4.0,2.0,1.0,8000.0,19.0,0.0,1.0,1.0,2021.0,0.0
639,395.0,3.0,2.0,1.0,3450.0,52.0,0.0,1.0,2.0,2021.0,0.0
672,410.0,3.0,2.0,2.0,0.0,35.0,0.0,1.0,1.0,2021.0,12620.0
792,472.0,3.0,2.0,2.0,0.0,1.0,4.0,1.0,1.0,2021.0,12620.0
848,496.0,4.0,2.0,1.0,4800.0,20.0,0.0,1.0,1.0,2021.0,30340.0
947,550.0,3.0,2.0,1.0,16910.0,28.0,0.0,1.0,2.0,2021.0,38860.0
997,586.0,3.0,2.0,1.0,25700.0,34.0,0.0,1.0,1.0,2021.0,38860.0
1072,625.0,3.0,2.0,2.0,0.0,4.0,0.0,1.0,1.0,2021.0,38860.0
1104,640.0,3.0,2.0,2.0,0.0,52.0,13.0,1.0,2.0,2021.0,38860.0
1267,730.0,4.0,2.0,1.0,11175.0,13.0,0.0,1.0,1.0,2021.0,38860.0
1325,769.0,3.0,2.0,1.0,7801.0,48.0,0.0,1.0,2.0,2021.0,38860.0
1342,780.0,3.0,2.0,1.0,2840.0,22.0,0.0,1.0,2.0,2021.0,38860.0
1350,785.0,3.0,2.0,1.0,18000.0,8.0,0.0,1.0,2.0,2021.0,38860.0
1375,800.0,3.0,2.0,1.0,18068.0,48.0,0.0,1.0,1.0,2021.0,38860.0
1397,810.0,3.0,2.0,2.0,0.0,4.0,0.0,1.0,2.0,2021.0,38860.0
1461,853.0,3.0,2.0,1.0,3300.0,4.0,0.0,1.0,2.0,2021.0,38860.0
1500,863.0,4.0,2.0,1.0,2120.0,10.0,0.0,1.0,1.0,2021.0,0.0
1522,878.0,3.0,2.0,1.0,2500.0,26.0,0.0,1.0,1.0,2021.0,0.0
1818,1390.0,3.0,2.0,2.0,0.0,8.0,0.0,1.0,1.0,2021.0,0.0
1854,1402.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,2.0,2021.0,0.0
1939,1446.0,3.0,2.0,1.0,6888.0,52.0,0.0,1.0,1.0,2021.0,0.0
2005,1485.0,4.0,2.0,2.0,0.0,12.0,0.0,1.0,1.0,2021.0,0.0
2062,1508.0,3.0,2.0,2.0,0.0,52.0,14.0,1.0,2.0,2021.0,0.0
2141,1556.0,4.0,2.0,1.0,1183.0,33.0,0.0,1.0,2.0,2021.0,0.0
2161,1567.0,4.0,2.0,2.0,0.0,9.0,0.0,1.0,1.0,2021.0,0.0
2238,1607.0,4.0,2.0,2.0,0.0,12.0,0.0,1.0,1.0,2021.0,0.0
2343,1672.0,4.0,2.0,1.0,10000.0,22.0,0.0,1.0,1.0,2021.0,0.0
2414,974.0,3.0,2.0,2.0,0.0,78.0,0.0,1.0,1.0,2021.0,14460.0
2499,1025.0,4.0,2.0,1.0,12000.0,14.0,0.0,1.0,1.0,2021.0,14460.0
2517,1034.0,3.0,2.0,2.0,0.0,12.0,0.0,1.0,1.0,2021.0,14460.0
2563,1053.0,3.0,2.0,1.0,8400.0,47.0,0.0,1.0,1.0,2021.0,14460.0
2584,1066.0,3.0,2.0,1.0,21000.0,47.0,0.0,1.0,1.0,2021.0,14460.0
2615,1078.0,4.0,2.0,1.0,12000.0,12.0,0.0,1.0,1.0,2021.0,14460.0
2688,1112.0,3.0,2.0,2.0,0.0,10.0,0.0,1.0,2.0,2021.0,14460.0
2690,1113.0,4.0,2.0,2.0,0.0,9.0,0.0,1.0,1.0,2021.0,14460.0
